,Titre,Auteur,Summary
350,À toute épreuve ,Harlan Coben,"Beau, intelligent, sensible : Jared avait tout du prince charmant. Pourtant, il ne se présente pas au rendez-vous qu'Ema – qui a fait sa connaissance par Internet – lui a fixé. Face au mystère de cet amour qui, aussitôt rencontré, se volatilise, Ema peut compter sur un ami de poids : Mickey Bolitar. D'abord sceptique, Mickey va se laisser convaincre par Ema de mener l'enquête. Et les faits vont leur donner raison : deux nouvelles disparitions de jeunes, stars de l'équipe de basket dont fait partie Mickey, viennent ébranler le lycée. Secoué par la mort de son père qui demeure irrésolue, forcé d'emménager chez son oncle Myron Bolitar, Mickey, isolé, laisse parler son instinct : ces événements sont liés. S'il ne découvre pas rapidement qui en est responsable, cette affaire risque fort d'être la dernière de sa jeune existence."
351,La renverse ,Olivier Adam,"« Ce n’est qu’au moment d’entrer dans le bar-tabac que la nouvelle m’a vraiment heurté, qu’elle a commencé à filer le tissu du drap que je tendais depuis des années sur cette partie de ma vie. J’ai demandé deux paquets de cigarettes, salué les habitués du plat du jour. Au-dessus des tables, un téléviseur s’allumait sur une chaîne d’information en continu. À l’instant où j’y ai posé les yeux, le visage éminemment télégénique de Jean-François Laborde s’est figé sur l’écran. J’ai demandé qu’on augmente le volume. On annonçait son décès dans un accident de voiture. Suivait un rappel succinct de sa biographie. Fugacement, la pensée, absurde étant donné le temps accordé à l’information, qu’il n’avait pas été fait mention de ma mère m’a traversé l’esprit. » Dans La renverse, Olivier Adam retrace l’itinéraire d’Antoine, dont la vie s’est jusqu’à présent écrite à l’ombre du scandale public qui a éclaboussé sa famille quand il était encore adolescent. Et ce faisant, il nous livre un grand roman sur l’impunité et l’humiliation, explorées au sein de la famille comme dans l’univers politique."
352,Profession du père ,Sorj Chalandon,"« Mon père a été chanteur, footballeur, professeur de judo, parachutiste, espion, pasteur d’une Eglise pentecôtiste américaine et conseiller personnel du général de Gaulle jusqu’en 1958. Un jour, il m’a dit que le Général l’avait trahi. Son meilleur ami était devenu son pire ennemi. Alors mon père m’a annoncé qu’il allait tuer de Gaulle. Et il m’a demandé de l’aider. Je n’avais pas le choix. C’était un ordre. J’étais fier. Mais j’avais peur aussi... À 13 ans, c’est drôlement lourd un pistolet. » S. C."
353,Les heures souterraines ,Delphine de Vigan,"Chaque jour, Mathilde prend la ligne 9, puis la ligne 1, puis le RER D jusqu’au Vert-de-Maisons. Chaque jour, elle effectue les mêmes gestes, emprunte les mêmes couloirs de correspondance, monte dans les mêmes trains. Chaque jour, elle pointe, à la même heure, dans une entreprise où on ne l’attend plus. Car depuis quelques mois, sans que rien n’ait été dit, sans raison objective, Mathilde n’a plus rien à faire. Alors, elle laisse couler les heures. Ces heures dont elle ne parle pas, qu’elle cache à ses amis, à sa famille, ces heures dont elle a honte. Thibault travaille pour les Urgences Médicales de Paris. Chaque jour, il monte dans sa voiture, se rend aux adresses que le standard lui indique. Dans cette ville qui ne lui épargne rien, il est coincé dans un embouteillage, attend derrière un camion, cherche une place. Ici ou là, chaque jour, des gens l’attendent qui parfois ne verront que lui. Thibault connaît mieux que quiconque les petites maladies et les grands désastres, la vitesse de la ville et l’immense solitude qu’elle abrite. Mathilde et Thibault ne se connaissent pas. Ils ne sont que deux silhouettes parmi des millions. Deux silhouettes qui pourraient se rencontrer, se percuter, ou seulement se croiser. Un jour de mai. Autour d’eux, la ville se presse, se tend, jamais ne s’arrête. Autour d’eux s’agite un monde privé de douceur. Les heures souterraines est un roman sur la violence silencieuse. Au cœur d’une ville sans cesse en mouvement, multipliée, où l’on risque de se perdre sans aucun bruit."
354,Entre mes mains le bonheur se faufile ,Agnès Martin-Lugand,"Depuis l'enfance, Iris a une passion pour la couture. Dessiner des modèles, leur donner vie par la magie du fil et de l'aiguille, voilà ce qui la rend heureuse. Mais ses parents n'ont toujours vu dans ses ambitions qu'un caprice : les chiffons, ce n'est pas "" convenable "". Et Iris, la mort dans l'âme, s'est résignée. Aujourd'hui, la jeune femme étouffe dans son carcan de province, son mari la délaisse, sa vie semble s'être arrêtée. Mais une révélation va pousser Iris à reprendre en main son destin. Dans le tourbillon de Paris, elle va courir le risque de s'ouvrir au monde et faire la rencontre de Marthe, égérie et mentor, troublante et autoritaire... Portrait d'une femme en quête de son identité, ce roman nous entraîne dans une aventure diabolique dont, comme son héroïne, le lecteur a du mal à se libérer. ""L'écriture d'"" Entre mes mains le bonheur se faufile "" est un mélange de légèreté et de profondeur. (...) C'est en cela qu'il s'agit d'un livre positif et intéressant ; il donne à tous l'idée du bonheur et du possible."" Valérie Trierweiler ""L'écriture fluide et les indices distillés au compte-gouttes nous gardent en haleine jusqu'à la dernière page."" La Presse"
355,Les règles d'usage ,Joyce Maynard,"Wendy, treize ans, vit à Brooklyn. Le 11 septembre 2001, son monde est complètement chamboulé : sa mère part travailler et ne revient pas. L'espoir s'amenuise jour après jour et, à mesure que les affichettes DISPARUE se décollent, fait place à la sidération. Le lecteur suit la lente et terrible prise de conscience de Wendy et de sa famille, ainsi que leurs tentatives pour continuer à vivre. Le chemin de la jeune fille la mène bientôt en Californie chez son père biologique qu'elle connaît à peine – et idéalise. Son beau-père et son petit frère la laissent partir le coeur lourd, mais avec l'espoir que cette expérience lui sera salutaire. Assaillie par les souvenirs, Wendy est tiraillée entre cette vie inédite et son foyer new-yorkais qui lui manque. Elle délaisse les bancs de son nouveau collège et, chaque matin, part à la découverte de ce qui l'entoure, faisant d'étonnantes rencontres : une adolescente tout juste devenue mère, un libraire clairvoyant et son fils autiste, un jeune à la marge qui recherche son grand frère à travers tout le pays. Wendy lit beaucoup, découvre Le Journal d'Anne Frank et Frankie Addams, apprend à connaître son père, se lie d'amitié avec sa belle-mère éleveuse de cactus, comprend peu à peu le couple que formaient ses parents – et les raisons de leur séparation. Ces semaines californiennes la prépareront-elles à aborder la nouvelle étape de sa vie ? Retournera-t-elle à Brooklyn auprès de ceux qui l'ont vue grandir ? Émouvante histoire de reconstruction, Les règles d'usage évoque avec brio la perte d'un être cher, l'adolescence et la complexité des rapports familiaux. Un roman lumineux."
356,Ne ramenez jamais une fille du futur chez vous ,Nathalie Stragier,"Une comédie à suspense décapante et addictive ! Ne ramenez jamais une fille du futur chez vous... ... parce que pour elle, votre monde ressemble au Moyen Âge. ... parce qu'elle sera envahissante, agaçante, imprévisible. ... mais surtout, parce qu'elle détient un secret terrible. Et c'est à vous qu'elle va le confier. Roman publié sous la direction de Denis Guiot."
357,Summer ,Monica Sabolo,"Lors d’un pique-nique au bord du lac Léman, Summer, dix-neuf ans, disparaît. Elle laisse une dernière image : celle d’une jeune fille blonde courant dans les fougères, short en jean, longues jambes nues. Disparue dans le vent, dans les arbres, dans l’eau. Ou ailleurs ? Vingt-cinq ans ont passé. Son frère cadet Benjamin est submergé par le souvenir. Summer surgit dans ses rêves, spectrale et gracieuse, et réveille les secrets d’une famille figée dans le silence et les apparences. Comment vit-on avec les fantômes ? Monica Sabolo a écrit un roman puissant, poétique, bouleversant."
358,Americanah ,Chimamanda Ngozi Adichie,"""En descendant de l’avion à Lagos, j’ai eu l’impression d’avoir cessé d’être noire."" Ifemelu quitte le Nigeria pour aller faire ses études à Philadelphie. Elle laisse derrière elle son grand amour, Obinze, éternel admirateur de l’Amérique, qui compte bien la rejoindre. Mais comment rester soi lorsqu’on change de pays, et lorsque la couleur de votre peau prend un sens et une importance que vous ne lui aviez jamais donnés ? De son ton irrévérencieux, Chimamanda Ngozi Adichie fait valser le politiquement correct et nous offre une grande histoire d’amour, parcourant trois continents d’un pas vif et puissant."
359,Le somnambule ,Sebastian Fitzek,"Adolescent, Leo Nader était en proie à de terribles crises de somnambulisme. Si intenses, qu'on l'avait contraint à suivre un traitement psychiatrique auprès d'un spécialiste, le Dr Volwarth. Bien des années plus tard, Leo se croit guéri. Mais, un matin, il découvre que sa femme Nathalie a été blessée pendant la nuit et qu'elle s'apprête à le quitter. Quand il essaie de la rattraper, elle s'enfuit avant de mystérieusement disparaître. Perturbé, Leo, qui se croit coupable sans en avoir conservé le moindre souvenir, décide de retourner voir le Dr Volwarth. Celui-ci lui conseille de s'équiper d'une petite caméra pour enregistrer ses déplacements nocturnes. Ce qu'il va découvrir ira bien au-delà de tout ce qu'il pouvait imaginer..."
360,Le jour où j'ai appris à vivre ,Laurent Gounelle,"Et si tout commençait aujourd'hui ? Imaginez : vous vous baladez sur les quais de San Francisco un dimanche, quand soudain une bohémienne vous saisit la main pour y lire votre avenir. Amusé, vous vous laissez faire, mais dans l’instant son regard se fige, elle devient livide. Ce qu’elle va finalement vous dire... vous auriez préféré ne pas l’entendre. À partir de là, rien ne sera plus comme avant, et il vous sera impossible de rester sur les rails de la routine habituelle. C'est ce qui va arriver à Jonathan dans ce nouveau roman de Laurent Gounelle. À la suite de cette rencontre troublante, il va se retrouver embarqué dans une aventure de découverte de soi ponctuée d’expériences qui vont changer radicalement sa vision de sa vie, de la vie. Ce roman, dont l’intrigue est basée sur des expériences scientifiques réelles, éclaire d’une lumière nouvelle notre existence et nos relations aux autres, et apporte un souffle d’air pur dans notre vie. Un nouveau roman lumineux et positif de Laurent Gounelle par l’auteur de L’homme qui voulait être heureux, Les dieux voyagent toujours incognito et Le philosophe qui n’était pas sage. Les romans de Laurent Gounelle sont tous des best-sellers, traduits dans le monde entier."
361,Ultime partie ,Marc Dugain, 
362,À l'orée du verger ,Tracy Chevalier,"En 1838, dans l’Ohio, les fièvres ne font pas de cadeau. À chaque début d’hiver, James Goodenough creuse de petites tombes en prévision des mauvais jours. Et à chaque fin d’hiver, une nouvelle croix vient orner le bout de verger qui fait péniblement vivre cette famille de cultivateurs de pommes originaires du Connecticut. Mais la fièvre n’est pas le seul fléau qui menace les Goodenough : l’alcool a fait sombrer Sadie, la mère, qui parle à ses enfants disparus quand elle ne tape pas sur ceux qui restent ; les caprices du temps condamnent régulièrement les récoltes de James, et les rumeurs dont bruisse le village de Black Swamp pointent du doigt cette famille d’étrangers. Heureusement, la visite de John Chapman, figure majeure de l’introduction des pommiers dans l’Ohio, la saveur d’une pomme mûre à point et la solidarité qui peut unir deux enfants partageant le même sort éclairent parfois l’existence de Martha et Robert Goodenough. Des années et un drame plus tard, frère et sœur sont séparés. Robert a quitté l’Ohio pour tenter sa chance dans l’Ouest. Il sera garçon de ferme, mineur, orpailleur, puis il renouera avec l’amour des arbres que son père lui a donné en héritage. Au fin fond de la Californie, auprès d’un exportateur anglais fantasque, Robert participe à une activité commerciale qui prendra bientôt son essor : il prélève des pousses de séquoias géants pour les envoyer aux amateurs du Vieux Monde. Auprès de Molly, cuisinière le jour, fille de joie la nuit, il réapprend le langage de la tendresse. De son côté, pendant toutes ces années, Martha n’a eu qu’un rêve : quitter sa prison mentale de Black Swamp et traverser les États-Unis à la recherche de son frère. Avec la précision et le sens du romanesque qui ont fait sa marque de fabrique,Tracy Chevalier plonge les mains dans l’histoire des pionniers et dans celle, méconnue, des arbres : de la culture des pommiers au commerce des arbres millénaires de la Californie. Mêlant personnages historiques et fictionnels, À l’orée du verger rend hommage à ces hommes et ces femmes qui ont construit les États-Unis."
363,Lettres à Anne ,François Mitterrand,"En 1962, un homme politique français de quarante-six ans rencontre à Hossegor, chez ses parents, une jeune fille de dix-neuf ans. La première lettre qu'il lui adresse le 19 octobre 1962 sera suivie de mille deux cent dix-sept autres qui se déploieront, sans jamais perdre de leur intensité, jusqu'en 1995, à la veille de sa mort. Les lettres de celui qui fut deux fois président de la République nous dévoilent des aspects totalement inconnus d'un homme profondément secret que chacun croyait connaître. Deux lettres, parmi des centaines, témoignent de la constance de cet amour. 15 novembre 1964 : ""Je bénis, ma bien-aimée, ton visage où j'essaie de lire ce que sera ma vie. Je t'ai rencontrée et j'ai tout de suite deviné que j'allais partir pour un grand voyage. Là où je vais je sais au moins que tu seras toujours. Je bénis ce visage, ma lumière. Il n'y aura plus jamais de nuit absolue pour moi. La solitude de la mort sera moins solitude. Anne, mon amour."" Et la correspondance prend fin le 22 septembre 1995 : ""Tu m'as toujours apporté plus. Tu as été ma chance de vie. Comment ne pas t'aimer davantage?"""
364,Extension du domaine de la lutte ,Michel Houellebecq,"Voici l'odyssée désenchantée d'un informaticien entre deux âges, jouant son rôle en observant les mouvements humains et les banalités qui s'échangent autour des machines à café. L'installation d'un progiciel en province lui permettra d'étendre le champ de ses observations, d'anéantir les dernières illusions d'un collègue - obsédé malchanceux - et d'élaborer une théorie complète du libéralisme, qu'il soit économique ou sexuel."
365,Écoute le chant du vent ,Haruki Murakami, 
366,Gravé dans le sable ,Michel Bussi,"Juin 44. Le soldat Lucky est tombé sur une plage normande. Vingt ans plus tard, Alice, sa fiancée, apprend le pacte insensé conclu sur le bateau quelques heures avant le carnage. Et va tout faire pour qu'éclate, enfin, la vérité. Quel est le prix d'une vie ? Quand on s'appelle Lucky, qu'on a la chance du diable, alors peut-être la mort n'est-elle qu'un défi. Un jeu. Ils étaient cent quatre-vingt-huit soldats sur la péniche en ce jour de juin 1944. Et Lucky a misé sa vie contre une hypothétique fortune. Alice, sa fiancée, sublime et résolue, n'a plus rien à perdre lorsque vingt ans plus tard, elle apprend l'incroyable pacte conclu par Lucky quelques heures avant le Débarquement. De la Normandie aux Etats-Unis, elle se lance à la quête de la vérité et des témoins... au risque de réveiller les démons du passé."
367,Manuel à l'usage des femmes de ménage ,Lucia Berlin,"La publication de Manuel à l’usage des femmes de ménage révèle un grand auteur et un destin exceptionnel : Lucia Berlin, mariée trois fois, mère de quatre garçons, nous raconte ses multiples vies en quarante-trois épisodes. Élevée dans les camps miniers d’Alaska et du Midwest, elle a été successivement une enfant solitaire au Texas durant la Seconde Guerre mondiale, une jeune fille riche et privilégiée à Santiago du Chili, une artiste bohème vivant dans un loft new-yorkais au milieu des années 50 et une infirmière aux urgences d’Oakland. Avec un délicat mélange d’humour, d’esprit et de mélancolie, Berlin saisit les miracles du quotidien jusque dans les centres de désintoxication du sud-ouest des États-Unis, elle égrène ses conseils avisés et loufoques tirés de ses propres expériences d’enseignante, standardiste, réceptionniste, ou encore femme de ménage. Dix ans après la mort de l’auteur, la découverte de Manuel à l’usage des femmes de ménage a constitué un événement littéraire majeur aux États-Unis, puis dans le monde entier. Comparée par la critique américaine à Raymond Carver et Alice Munro, Lucia Berlin est un grand écrivain injustement méconnu, un maître de la narration qui se nourrit du réel pour émerveiller son lecteur. « Lucia Berlin est sans doute le meilleur écrivain dont vous n’avez jamais entendu parler... » —Publishers Weekly « Les nouvelles de Madame Berlin font s’émerveiller des imprévus de l’existence. C’est ça un grand écrivain. » —The New York Times « Quarante-trois nouvelles, quarante-trois petits chefs-d’œuvre. » —La Repubblica"
368,Le cinquième évangile ,Ian Caldwell,"En 2004, au Vatican, Alex et Simon– deux frères, l’un prêtre catholique de l’Église d’Orient, l’autre prêtre catholique de l’Église d’Occident – sont emportés dans la tourmente après un meurtre lié à l’imminence d’une révélation retentissante relative à la relique la plus fascinante et la plus contestée de la chrétienté, le Saint-Suaire de Turin. À travers l’enquête parallèle et clandestine que mène Alex pour sauver son frère, accusé du pire péché qui soit, l’auteur explore le Vatican, et les Évangiles, de manière inédite."
369,De l'influence de David Bowie sur la destinée des jeunes filles ,Jean-Michel Guenassia,"« Moi, je me plais dissimulé dans le clair-obscur. Ou perché tout en haut, comme un équilibriste au-dessus du vide. Je refuse de choisir mon camp, je préfère le danger de la frontière. Si un soir, vous me croisez dans le métro ou dans un bar, vous allez obligatoirement me dévisager, avec embarras, probablement cela vous troublera, et LA question viendra vous tarauder : est-ce un homme ou une femme ? Et vous ne pourrez pas y répondre. » De l'influence de David Bowie sur la destinée des jeunes filles nous fait partager l'histoire improbable, drôle et tendre, d'une famille joliment déglinguée dont Paul est le héros peu ordinaire. Paul qui, malgré ses allures de filles, aime exclusivement les femmes. Paul, qui a deux mères et n'a jamais connu son père. Paul, que le hasard de sa naissance va mener sur la route d'un célèbre androgyne : David Bowie. Fantaisiste et généreux, le nouveau roman de Jean-Michel Guenassia, l'auteur du Club des incorrigibles optimistes, nous détourne avec grâce des chemins tout tracés pour nous faire gouter aux charmes de l'incertitude."
370,3 nouveaux contes du Père Castor à écouter dès 2 ans,Robert Giraud, 
371,Mon père sur mes épaules ,Metin Arditi,"Un père peut-il être un homme comme les autres ? Metin Arditi évoque le souvenir du sien, mort il y a vingt ans. En pélerinage dans les Grisons, où son père aimait aller, à sa table de travail, dans un bar d’hôtel, Metin Arditi rappelle à lui les souvenirs. Au fur et à mesure qu’ils reviennent, le portrait se précise, le non-dit s’entend, la vérité affleure. Revenant à son enfance stambouliote, il retrouve son père avec des yeux de petit garçon ébloui : un homme toujours élégant, admirable et admiré, héros d’une famille juive cosmopolite. Il revit ses onze années d’internat en Suisse, un inoubliable amour d’adolescent avec Géraldine Chaplin, les leçons de sagesse offerts par ce père qu’il voyait à peine, et notamment : « Les livres, c’est autre chose. » Au fil de l’écriture, il revient sur l'éloignement et ses déchirures, l’affrontement sur la question juive, et la quête de l’estime d’un père qu’il continue de chercher après sa mort. Un récit bouleversant, d'homme à homme."
372,L'héritage de Cavendon ,Barbara Taylor Bradford,"Les familles Ingham et Swann ont survécu à de nombreux drames ; la Seconde Guerre mondiale est sur le point d'éclater, pourront-ils s'en sortir une fois encore ? En cet été 1938, Miles et Cecily devaient partir en vacances à Zurich avec leurs enfants, mais la situation est désormais bien trop préoccupante. Cecily se rend pourtant à Berlin, décidée à aider la famille de son assistante, Greta, à s'évader. Pendant six terribles années de bombardements, de privation et de chaos, les Ingham et les Swann se protègent et s'entraident. Le destin de Cavendon est loin d'être assuré, le manoir subissant alternativement les coups de chance et les coups durs. Ils supporteront ces aléas comme ils l'ont toujours fait, prêts à repartir de zéro s'il le faut."
373,Taba-Taba ,Patrick Deville,"Le roman commence à Mindin, en face de Saint-Nazaire, au début des années 1960, dans un lazaret devenu hôpital psychiatrique : un enfant boiteux, dont le père est administrateur du lieu, se lie d'amitié avec un des internés, un ancien de la marine qui, se balançant d'arrière en avant, répète sans cesse la même formule énigmatique : Taba-Taba. À partir de là, Patrick Deville déroule le long ruban de l'Histoire, en variant le microscope et le macroscope. Car la France, ce n'est pas seulement l'Hexagone : le narrateur se promène autour de la planète, pour rappeler l'épopée coloniale avec ses désastres mais aussi ses entreprises audacieuses (canal de Suez, de Panamá). Cette grande fresque romanesque va de Napoléon III aux attentats qui ont ensanglanté récemment le pays, en passant par la Grande Guerre et ses tranchées, puis par le Front populaire, la Débâcle, l'Occupation, la Résistance, le Vercors, la Libération."
374,Ne tirez pas sur l'oiseau moqueur ,Harper Lee,"Dans une petite ville d'Alabama, au moment de la Grande Dépression, Atticus Finch élève seul ses deux enfants, Jem et Scout. Homme intègre et rigoureux, cet avocat est commis d'office pour défendre un Noir accusé d'avoir violé une Blanche. Ce bref résumé peut expliquer pourquoi ce livre, publié en 1960 - au cœur de la lutte pour les droits civiques -, connut un tel succès. Il ne suffit pas en revanche à comprendre comment ce roman est devenu un livre culte aux Etats-Unis et dans bien d'autres pays. C'est que, tout en situant son sujet en Alabama à une époque bien précise - les années 1930 -, Harper Lee a écrit un roman universel sur l'enfance confrontée aux préjugés, au mensonge, à la bigoterie et au mal. Racontée par Scout avec beaucoup de drôlerie, cette histoire tient du conte, de la court story américaine et du roman initiatique. Couronné par le Prix Pulitzer en 1961, Ne tirez pas sur l'oiseau moqueur s'est vendu à plus de 30 millions d'exemplaires dans le monde entier."
375,Une putain d'histoire ,Bernard Minier,"Une île boisée au large de Seattle... "" Au commencement est la peur. La peur de se noyer. La peur des autres, ceux qui me détestent, ceux qui veulent ma peau. Autant vous le dire tout de suite : Ce n'est pas une histoire banale. Ça non. c'est une putain d'histoire. Ouais, une putain d'histoire... "" Un thriller implacable"
376,Mirage ,Douglas Kennedy,"Dans la chaleur étouffante d'un Sahara de tous les dangers, passion, mensonges et trahisons. Et si l'amour n'était qu'un mirage ? Un voyage plein de rebondissements au cœur d'un Maroc inattendu, avec le plus captivant des guides : Douglas Kennedy. Robyn le sait, son mari Paul est loin d'être parfait. Artiste fantasque, insouciant, dépensier, ce jouisseur invétéré a du mal avec les limites du quotidien. Le couple s'aime encore mais la crise couve. Sans compter la question des enfants. Robyn en veut un, Paul est d'accord. Mais le temps presse, et rien ne se passe... Pourquoi pas un voyage au Maroc ? Changer d'air, prendre le temps de vivre, se redécouvrir, et faire enfin ce bébé qui leur manque tant. Sur place, la magie opère : Paul se remet à peindre et Robyn à espérer. C'est alors qu'une nouvelle tombe, un secret révélé, si lourd, si explosif qu'il dévaste tout. Et Paul disparaît. ​Folle de douleur, terrifiée à l'idée de perdre celui qu'elle ne peut s'empêcher d'aimer, Robyn va se lancer à sa recherche. Une quête qui la conduira au bout d'elle-même..."
377,Jules ,Didier Van Cauwelaert,"« À trente ans, Alice recouvre la vue. Pour Jules, son chien guide, c'est une catastrophe. Et en plus on les sépare. Alors, il se raccroche à moi. En moins de vingt-quatre heures, ce labrador en déroute me fait perdre mon emploi, mon logement, tous mes repères. Il ne me reste plus qu'une obsession - la sienne : retrouver la jeune femme qui nous a brisé le coeur. » Entre une miraculée de la chirurgie et un vendeur de macarons, une histoire de renaissance mutuelle et de passion volcanique orchestrée, avec l'énergie du désespoir, par le plus roublard des chiens d'aveugle."
378,Le garçon qui ne parlait pas ,Donna Leon,"Tandis que les feuilles d’automne commencent à tomber dans les rues de Venise, le vice-questeur Patta charge le commissaire Brunetti d'enquêter sur une infraction commise par le magasin de masques sur le campo San Barnaba appartenant à la future bru du maire. Mais voilà que sa femme, Paola, lui présente elle aussi une requête. L'homme, certainement handicapé mental, qui travaillait dans leur pressing, vient de mourir d'une overdose de somnifères. Paola ne peut supporter l'idée que personne ne l'ait jamais remarqué ni aidé, dans la vie comme dans sa mort. Intrigué lui aussi par le décès de ce personnage qu'il a croisé pendannt de nombreuses années, Brunetti entame des recherches dans le dos de son supérieur. A sa grande surprise, il ne découvre rien sur cet homme : pas d'acte de naissance, pas de passeport, pas de carte de crédit. Pour l'administration italienne, il n'a jamais existé. Plus étrange encore, sa mère refuse de parler à la police et assure que les papiers d'identité de son fils ont été volés lors d'un cambriolage. Au fil des révélations, on découvre qu'une famille d'aristocrates, les Lembo, semble mêlée à cette mort mystérieuse. Mais pour quelle raison ces gens puissants et influents auraient-ils éliminé ce malheureux simple d'esprit ?"
379,Une mort qui en vaut la peine ,Donald Ray Pollock,"Après Le Diable, tout le temps, couronné par de nombreux prix, Donald Ray Pollock revient avec une fresque grinçante à l'humour très noir. 1917. Quelque part entre la Géorgie et l'Alabama. Le vieux Jewett, veuf et récemment exproprié de sa ferme, mène une existence de misère avec ses fils Cane, Cob et Chimney, à qui il promet le paradis en échange de leur labeur. À sa mort, inspirés par le héros d'un roman à quatre sous, les trois frères enfourchent leurs chevaux, décidés à troquer leur condition d'ouvriers agricoles contre celle de braqueurs de banque. Mais rien ne se passe comme prévu et ils se retrouvent avec toute la région lancée à leurs trousses. Et si la belle vie à laquelle ils aspiraient tant se révélait pire que l'enfer auquel ils viennent d'échapper ? Fidèle au sens du grotesque sudiste de Flannery O'Connor, avec une bonne dose de violence à la Sam Peckinpah mâtiné de Tarantino, cette odyssée sauvage confirme le talent hors norme de Donald Ray Pollock. « Pollock : un croisement entre Faulkner et les frères Coen. » Le Figaro Littéraire"
380,La sirène ,Camilla Läckberg, 
381,Un paquebot dans les arbres ,Valentine Goby,"À la fin des années 1950, Mathilde, adolescente, voit partir son père puis sa mère pour le sanatorium d’Aincourt. Commerçants, ils tenaient le café de La Roche-Guyon. Doué pour le bonheur mais totalement imprévoyant, ce couple aimant laisse alors ses deux plus jeunes enfants dans la misère. Car à l’aube des années 1960, la Sécurité sociale ne protège que les salariés et la pénicilline ne fait pas de miracle pour ceux qui, par insouciance, méconnaissance ou dénuement ne sont pas soignés à temps. Petite mère courage, Mathilde va se battre pour sortir ceux qu’elle aime du sanatorium, ce grand paquebot blanc niché dans les arbres, où se reposent et s’aiment ceux que l’enfance ne peut tolérer autrement qu’invincibles."
382,Romanesque ,Tonino Benacquista,"On demanda aux amants si l’un voulait de l’autre, si l’autre voulait de l’un, et le oui qu’on leur arracha leur parut bien impuissant à décrire ce que contenait déjà leur cœur : un royaume entier. Un couple en cavale se rend dans un théâtre, au risque de se faire arrêter, pour y voir jouer un classique : Les mariés malgré eux. La pièce raconte comment, au Moyen Âge, un braconnier et une glaneuse éperdument amoureux refusent de se soumettre aux lois de la communauté. Là où les amants d’antan ont échoué, ceux d’aujourd’hui sont prêts à affronter tous les périls et à traverser les continents pour vivre leur passion au grand jour. Tonino Benacquista livre un roman d’aventures haletant et drôle qui interroge la manière dont se transmettent les légendes : l'essence même du romanesque."
383,Récidive ,Sonia Delzongle,"""Psychologiquement extraordinairement bien fait"", a dit Gérard Collard, de la Griffe Noire, au Magazine de la Santé sur France 5 Entre le père et la fille, l'heure de la vengeance a sonné... Saint-Malo, hiver 2014. Du haut des remparts, sorti de prison, Erwan Kardec contemple la mer en savourant sa liberté. Il y a trente ans, il a tué sa femme à mains nues, devant leur fille, Hanah. Jamais il n’aurait été démasqué si la fillette n’avait eu le courage de le dénoncer. Malade, nourri d'une profonde haine, il n'aura de cesse de la retrouver avant de mourir. À New York, au même moment, Hanah qui a appris la libération de l'assassin de sa mère est hantée par le serment qu'il lui a fait de se venger. De cauchemars en insomnies, son angoisse croît de jour en jour. Pourquoi a-t-il tué sa mère ? Quand surgira-t-il ? Quels sont ces appels anonymes ? La confrontation est inévitable. Quand on est traqué, mieux vaut-il se cacher, ou regarder la mort dans les yeux ? Sonja Delzongle est également l’auteur du très remarqué Dust (Denoël, 2015) et de Quand la neige danse (Denoël, 2016), choisi par Yann Plougastel, du Monde, dans le top 20 des « meilleurs romans noirs et polars » 2016. Sa profileuse Hanah Baxter est désormais l’un des personnages qui comptent dans le paysage du thriller français."
384,Bienvenue à Cotton's Warwick ,Michaël Mention,"""Ici, il n'y a rien. Excepté quelques fantômes à la peau rougie de terre, reclus dans le trou du cul de l'Australie. Perdus au fin fond du Northern, ce néant où la bière est une religion et où les médecins se déplacent en avion."" Australie, Territoire du Nord. Dans l'Outback, on ne vit plus depuis longtemps, on survit. Seize hommes et une femme, totalement isolés, passent leurs journées entre ennui, alcool et chasse. Routine mortifère sous l'autorité de Quinn, Ranger véreux. Tandis que sévit une canicule sans précédent, des morts suspectes ébranlent le village, réveillant les rancœurs et les frustrations. Sueur, folie et sang. Vous n'oublierez jamais Cotton's Warwick."
385,Le labyrinthe ,James Dashner, 
386,On regrettera plus tard ,Agnès Ledig,"Cela fait bientôt sept ans qu'Eric et sa petite Anna Nina sillonnent les routes de France. Solitude choisie. Jusqu'à ce soir de juin, où le vent et la pluie les obligent à frapper à la porte de Valentine. Un orage peut-il à lui seul détourner d'un destin que l'on croyait tout tracé ? Avec la vitalité, l'émotion et la générosité qui ont fait l'immense succès de Juste avant le bonheur et Pars avec lui, Agnès Ledig explore les chemins imprévisibles de l'existence et du coeur. Pour nous dire que le désir et la vie sont plus forts que la peur et les blessures du passé."
387,Bêtes pas si bêtes ! ,Jean-Louis Le Craver, 
388,La bonne surprise et autres histoires inédites du Petit Nicolas ,Jean-Jacques Sempé, 
